Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","24/09/2021 09:52 UTC"
"Last updated:","18 June 2021"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=6ijzZj
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:,AFG
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Venezuelans displaced abroad","Stateless persons","Others of concern"
2006,Afghanistan,AFG,Afghanistan,AFG,0,0,129310,,0,0
2006,Afghanistan,AFG,Egypt,EGY,31,0,0,,0,0
2006,Afghanistan,AFG,Australia,AUS,7908,15,0,,0,0
2006,Afghanistan,AFG,Austria,AUT,3664,1575,0,,0,0
2006,Afghanistan,AFG,Azerbaijan,AZE,104,33,0,,0,372
2006,Afghanistan,AFG,Belgium,BEL,226,17,0,,0,0
2006,Afghanistan,AFG,Belarus,BLR,491,9,0,,0,0
2006,Afghanistan,AFG,Brazil,BRA,5,0,0,,0,0
2006,Afghanistan,AFG,Bulgaria,BGR,1967,395,0,,0,0
2006,Afghanistan,AFG,Canada,CAN,14419,294,0,,0,0
2006,Afghanistan,AFG,China,CHN,7,0,0,,0,0
2006,Afghanistan,AFG,Chile,CHL,17,0,0,,0,0
2006,Afghanistan,AFG,Cuba,CUB,0,5,0,,0,0
2006,Afghanistan,AFG,Cyprus,CYP,5,134,0,,0,0
2006,Afghanistan,AFG,Czechia,CZE,237,0,0,,0,0
2006,Afghanistan,AFG,Denmark,DNK,6306,61,0,,0,0
2006,Afghanistan,AFG,Ecuador,ECU,32,0,0,,0,0
2006,Afghanistan,AFG,Finland,FIN,1883,59,0,,0,0
2006,Afghanistan,AFG,France,FRA,1238,0,0,,0,0
2006,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,23069,0,0,,0,0
2006,Afghanistan,AFG,Georgia,GEO,5,0,0,,0,0
2006,Afghanistan,AFG,Germany,DEU,21879,3999,0,,0,0
2006,Afghanistan,AFG,Greece,GRC,171,498,0,,0,0
2006,Afghanistan,AFG,Hungary,HUN,2357,5,0,,0,0
2006,Afghanistan,AFG,"Cote d'Ivoire",CIV,14,0,0,,0,0
2006,Afghanistan,AFG,India,IND,9472,137,0,,0,0
2006,Afghanistan,AFG,Indonesia,IDN,65,10,0,,0,0
2006,Afghanistan,AFG,Ireland,IRL,99,112,0,,0,0
