53.484232,27.880124,211.75km;Belarus
64.213676,-106.134509,1633.17km;Canada1
49.238132,-78.621281,738.5km;Canada2
58.479689,49.209542,1145.26km;Russia
12.405815,-110.513611,1823.86km;Mexico
40.658793,12.830991,410.73km;Italy
46.722815,1.341103,388.68km;France
46.924032,8.278284,68.27km;Switzerland
50.766189,4.647017,70.52km;Belgium
21.705907,77.576895,895.87km;India
-41.901607,172.861277,992.05km;NewZealand
32.770247,54.096327,587.91km;Iran

51.165691,10.451526,291km;Germany
-25.274398,133.775136,2005km;Australia
55.676720,-6.506120,744.91km;UK
40.463667,-3.74922,524.51km;Spain
39.406920,-114.779000,1016.78km;US1
37.544311,-95.232171,1286km;US2
35.316388,-76.335539,1266.49km;US3
53.082248,4.563170,192.352km;Netherlands
52.128515,19.546861,284.590km;Poland
38.885174,23.598621,278.300km;Greece
39.103246,31.615873,427.69km;Turkey1
39.457117,38.838369,321.95km;Turkey2
26.959479,66.557299,504.30km;Pakistan1
32.020249,72.035529,254.85km;Pakistan2
